Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Cataloging Language	99383818097906576		040-b: 	Norwegian wood [electronic resource] : the thoughtful architecture of Wenche Selmer / Elisabeth Tostrup.
	EDIT-ISBN_20a-to-z	99383818097906576		020a: 1568985932 (alk. paper)	
	EDIT-264-missing-©	99383818097906576		�2006.	
	CHECK-Cataloging Language	99383818098306576		040-b: 	Making the Irish American [electronic resource] : history and heritage of the Irish in the United States / edited by J.J. Lee and Marion R. Casey.
	EDIT-ISBN_20a-to-z	99383818098306576		020a: 081475208X (cloth : alk. paper)	
	EDIT-Geo	99383818098306576		No Geo Code; Check Bib Record for Geo Headings	Making the Irish American [electronic resource] : history and heritage of the Irish in the United States / edited by J.J. Lee and Marion R. Casey.
	EDIT-245Ind1	99383818098306576		245 Ind1: 0	Making the Irish American [electronic resource] : history and heritage of the Irish in the United States / edited by J.J. Lee and Marion R. Casey.
	EDIT-264-missing-©	99383818098306576		�2006.	
	CHECK-Cataloging Language	99383818098906576	(OCoLC)311870214	040-b: 	Handbook of depression in children and adolescents / edited by William M. Reynolds and Hugh F. Johnston.
	CHECK-100-INDICATOR	99383818098906576	(OCoLC)311870214	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818098906576	(OCoLC)311870214	245 Ind1: 0	Handbook of depression in children and adolescents / edited by William M. Reynolds and Hugh F. Johnston.
	CHECK-Cataloging Language	99383818099206576		040-b: 	Graphic design theory [electronic resource] : readings from the field / edited by Helen Armstrong.
	EDIT-ISBN_20a-to-z	99383818099206576		020a: 9781568987729 (alk. paper)	
	EDIT-ISBN_20a-to-z	99383818099206576		020a: 1568987722 (alk. paper)	
	CHECK-100-INDICATOR	99383818099206576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818099206576		245 Ind1: 0	Graphic design theory [electronic resource] : readings from the field / edited by Helen Armstrong.
	CHECK-Series490-traced	99383818099206576		Series statement (traced): Design briefs	
	CHECK-Multi050	99383820904806576	(OCoLC)1237863151	050-1: Q335.C63 2021 050-2: Q335.C73 2021	Atlas of AI : power, politics, and the planetary costs of artificial intelligence / Kate Crawford.
	CHECK-ENCODING	99383821202106576		Encoding level: 3	H is for Hawk [electronic resource] / Helen Macdonald.
	CHECK-Cataloging Language	99383821202106576		040-b: 	H is for Hawk [electronic resource] / Helen Macdonald.
	CHECK-Cataloging Language	99383821203006576		040-b: 	Access technology for blind and low vision accessibility / Yue-Ting Siu and Ike Presley ; with additional material by Diane Brauner [and four others].
	CHECK-ENCODING	99383841204806576	(OCoLC)1340959737	Encoding level: 3	'Otherness' in the Middle Ages.
	CHECK-Cataloging Language	99383841204806576	(OCoLC)1340959737	040-b: 	'Otherness' in the Middle Ages.
	CHECK-Series490-traced	99383841204806576	(OCoLC)1340959737	Series statement (traced): International Medieval Research Ser. ;v.25	
	CHECK-ENCODING	99383841204906576		Encoding level: 3	The art of anatomy in Medieval Europe [electronic resource] / Taylor McCall.
	CHECK-Cataloging Language	99383841204906576		040-b: 	The art of anatomy in Medieval Europe [electronic resource] / Taylor McCall.
	CHECK-Series490-traced	99383841204906576		Series statement (traced): Medieval lives	
	CHECK-ENCODING	99383843883806576	(OCoLC)1125291046	Encoding level: 8	Boys & sex : young men on hookups, love, porn, consent, and navigating the new masculinity / Peggy Orenstein.
	CHECK-ENCODING	99383848703206576	(OCoLC)1143344387	Encoding level: 3	The Chinese Lyric Sequence : Poems, Paintings, Anthologies.
	CHECK-Cataloging Language	99383848703206576	(OCoLC)1143344387	040-b: 	The Chinese Lyric Sequence : Poems, Paintings, Anthologies.
	CHECK-Series490-traced	99383848703206576	(OCoLC)1143344387	Series statement (traced): Cambria Sinophone World Ser.	
	CHECK-ENCODING	99383848705106576	(OCoLC)1390561205	Encoding level: 3	Personalism and Metaphysics : Is Personalism a First Philosophy?
	CHECK-Cataloging Language	99383848705106576	(OCoLC)1390561205	040-b: 	Personalism and Metaphysics : Is Personalism a First Philosophy?
	EDIT-Series490-untraced	99383848705106576	(OCoLC)1390561205	Series statement (untraced): Philosophy of Personalism Series	
	CHECK-Cataloging Language	99383849998306576	(OCoLC)1371754088	040-b: 	The two moralities : conservatives, liberals, and the roots of our political divide / Ronnie Janoff-Bulman.
	CHECK-ENCODING	99383850002906576	(OCoLC)1341995889 (OCoLC)cis064670351	Encoding level: 7	Mother to mother / Sindiwe Magona.
	CHECK-Cataloging Language	99383850004906576		040-b: 	The Baton Rouge interviews : with Alexandre Leupin / Édouard Glissant ; translated by Kate M. Cooper.
	EDIT-Series490-untraced	99383850004906576		Series statement (untraced): The Glissant Translation Project	
	CHECK-Series490-traced	99383850079906576	(OCoLC)1090677970	Series statement (traced): Short & happy law series	
	CHECK-Cataloging Language	99383850295506576	(OCoLC)1377227870	040-b: 	Handbook on tourism and rural community development / edited by Heather Mair.
	CHECK-Series490-traced	99383850295506576	(OCoLC)1377227870	Series statement (traced): Research handbooks in tourism series	
	CHECK-Cataloging Language	99383853304206576		040-b: 	An introduction to writing for electronic media : scriptwriting essentials across the genres / Robert B. Musburger.
	CHECK-Cataloging Language	99383853305306576		040-b: 	Disrupting D.C. : the rise of Uber and the fall of the city / Katie J. Wells, Kafui Attoh, and Declan Cullen.
	EDIT-Geo	99383853305306576		No Geo Code; Check Bib Record for Geo Headings	Disrupting D.C. : the rise of Uber and the fall of the city / Katie J. Wells, Kafui Attoh, and Declan Cullen.
	CHECK-Cataloging Language	99383853504706576	(OCoLC)1378390303	040-b: 	Dao companion to the philosophy of mencius / Yang Xiao [and three others], editors.
	CHECK-ENCODING	99383853803306576	(OCoLC)1345592342	Encoding level: 3	Riches Beyond the Horizon : Long-Distance Trade in Early Medieval Landscapes (ca. 6th-12th Centuries).
	CHECK-Cataloging Language	99383853803306576	(OCoLC)1345592342	040-b: 	Riches Beyond the Horizon : Long-Distance Trade in Early Medieval Landscapes (ca. 6th-12th Centuries).
	CHECK-Series490-traced	99383853803306576	(OCoLC)1345592342	Series statement (traced): Medieval and Post-Medieval Mediterranean Archaeology Ser. ;v.4	
	CHECK-ENCODING	99383853803806576	(OCoLC)1394116964	Encoding level: 3	Dimensions of curation [electronic resource] : considering competing values for intentional exhibition practices / edited by Ann Rowson Love and Pat Villeneuve.
	CHECK-Cataloging Language	99383853803806576	(OCoLC)1394116964	040-b: 	Dimensions of curation [electronic resource] : considering competing values for intentional exhibition practices / edited by Ann Rowson Love and Pat Villeneuve.
	CHECK-100-INDICATOR	99383853803806576	(OCoLC)1394116964	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853803806576	(OCoLC)1394116964	245 Ind1: 0	Dimensions of curation [electronic resource] : considering competing values for intentional exhibition practices / edited by Ann Rowson Love and Pat Villeneuve.
	EDIT-Series490-untraced	99383853803806576	(OCoLC)1394116964	Series statement (untraced): American alliance of museums	
	Has_$5	99383854100206576	(OCoLC)682910878	Field with $5 :505	
	Has_$5	99383854100206576	(OCoLC)682910878	Field with $5 :533	
	CHECK-Multi050	99383854100206576	(OCoLC)682910878	050-1: RC965.F59F67 2011 050-2: RC965.F59	Forests, trees and human health [electronic resource] / Kjell Nilsson ... [et al.], editors.
	CHECK-Cataloging Language	99383854100806576		040-b: 	Access, property and American urban space / M. Gordon Brown.
	CHECK-Series490-traced	99383854100806576		Series statement (traced): Routledge studies in human geography ;57	
	CHECK-ENCODING	99383854204306576	(OCoLC)1393539759 (OCoLC)cis064765048	Encoding level: 7	REFERENCE AND INFORMATION SERVICES : an introduction.
	CHECK-Cataloging Language	99383854491706576		040-b: 	The Routledge Handbook of Digital Writing and Rhetoric / edited by Jonathan Alexander and Jacqueline Rhodes.
	CHECK-100-INDICATOR	99383854491706576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383854491706576		245 Ind1: 0	The Routledge Handbook of Digital Writing and Rhetoric / edited by Jonathan Alexander and Jacqueline Rhodes.
	EDIT-Series490-untraced	99383854491706576		Series statement (untraced): Routledge Handbooks in Communication Studies	
	CHECK-ENCODING	99383854492006576		Encoding level: 7	Women's health advocacy : rhetorical ingenuity for the 21st century / edited by Jamie White-Farnham, Bryna Siegel Finer, Cathryn Molloy.
	CHECK-Cataloging Language	99383854492006576		040-b: 	Women's health advocacy : rhetorical ingenuity for the 21st century / edited by Jamie White-Farnham, Bryna Siegel Finer, Cathryn Molloy.
	CHECK-100-INDICATOR	99383854492006576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383854492006576		245 Ind1: 0	Women's health advocacy : rhetorical ingenuity for the 21st century / edited by Jamie White-Farnham, Bryna Siegel Finer, Cathryn Molloy.
	CHECK-Cataloging Language	99383854700906576	(OCoLC)958580418	040-b: 	Anthology of classical myth : primary sources in translation / edited and featuring new translations by Stephen M. Trzaskoma, R. Scott Smith, and Stephen Brunet.
	CHECK-100-INDICATOR	99383854700906576	(OCoLC)958580418	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383854700906576	(OCoLC)958580418	245 Ind1: 0	Anthology of classical myth : primary sources in translation / edited and featuring new translations by Stephen M. Trzaskoma, R. Scott Smith, and Stephen Brunet.
	CHECK-Cataloging Language	99383854703206576	(OCoLC)1101797709	040-b: 	Red earth, white lies : Native Americans and the myth of scientific fact / Vine Deloria, Jr.
	CHECK-Cataloging Language	99383854704806576		040-b: 	The Fortifications of Pompeii and Ancient Italy / by Ivo Van der Graaff.
	CHECK-Cataloging Language	99383855905106576		040-b: 	Intermarriage from Central Europe to Central Asia : Mixed Families in the Age of Extremes / edited and introduced by Adrienne Edgar and Benjamin Frommer.
	EDIT-Geo	99383855905106576		No Geo Code; Check Bib Record for Geo Headings	Intermarriage from Central Europe to Central Asia : Mixed Families in the Age of Extremes / edited and introduced by Adrienne Edgar and Benjamin Frommer.
	EDIT-Series490-untraced	99383855905106576		Series statement (untraced): Borderlands and transcultural studies	
	CHECK-Series490-traced	99383856079206576	(OCoLC)1358757869	Series statement (traced): Society and natural resources	
	CHECK-Cataloging Language	99383858802006576	(OCoLC)1016999829	040-b: 	Study smarter, not harder / Kevin Paul.
	CHECK-Series490-traced	99383858802006576	(OCoLC)1016999829	Series statement (traced): Self-Counsel Reference Series	
	CHECK-ENCODING	99383865083106576	(OCoLC)852791595	Encoding level: M	The Arts at a New Frontier : the National Endowment for the Arts / by Fannie Taylor, Anthony L. Barresi.
	CHECK-Series490-traced	99383865083106576	(OCoLC)852791595	Series statement (traced): Nonprofit Management and Finance ;85	
	CHECK-Cataloging Language	99383865083806576		040-b: 	The affect theory reader. 2 : worldings, tensions, futures / Gregory J. Seigworth and Carolyn Pedwell, editors.
	CHECK-Series490-traced	99383865083806576		Series statement (traced): ANIMA: critical race studies otherwise	
	CHECK-ENCODING	99383865104306576		Encoding level: 3	Ramayana theater in contemporary Southeast Asia [electronic resource] / edited by Madoka Fukuoka.
	CHECK-Cataloging Language	99383865104306576		040-b: 	Ramayana theater in contemporary Southeast Asia [electronic resource] / edited by Madoka Fukuoka.
	CHECK-100-INDICATOR	99383865104306576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865104306576		245 Ind1: 0	Ramayana theater in contemporary Southeast Asia [electronic resource] / edited by Madoka Fukuoka.
	CHECK-Cataloging Language	99383865104406576		040-b: 	Directions for Directing : Theatre and Method / by Avra Sidiropoulou.
	CHECK-Cataloging Language	99383865104906576		040-b: 	Shakespeare, race and performance : the diverse bard / [edited by] Delia Jarrett-Macauley.
	CHECK-100-INDICATOR	99383865104906576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865104906576		245 Ind1: 0	Shakespeare, race and performance : the diverse bard / [edited by] Delia Jarrett-Macauley.
	CHECK-ENCODING	99383926899806576		Encoding level: 3	A word or two before I go [electronic resource] : essays then and now / Arthur Krystal.
	CHECK-Cataloging Language	99383926899806576		040-b: 	A word or two before I go [electronic resource] : essays then and now / Arthur Krystal.
	CHECK-Cataloging Language	99383927001406576	(OCoLC)1381094720	040-b: 	Black folklorists in pursuit of equality : African American identity and cultural politics, 1893-1943 / Ronald LaMarr Sharps.
	CHECK-Series490-traced	99383927001406576	(OCoLC)1381094720	Series statement (traced): Studies in folklore and ethnology	
	CHECK-Cataloging Language	99383927003906576		040-b: 	The man who organized nature : the life of Linnaeus / Gunnar Broberg ; translated by Anna Paterson.
	EDIT-Geo	99383927003906576		No Geo Code; Check Bib Record for Geo Headings	The man who organized nature : the life of Linnaeus / Gunnar Broberg ; translated by Anna Paterson.
	CHECK-ENCODING	99383927092206576		Encoding level: 3	The coddling of the American mind [electronic resource] : how good intentions and bad ideas are setting up a generation for failure / Greg Lukianoff and Jonathan Haidt.
	CHECK-Cataloging Language	99383927092206576		040-b: 	The coddling of the American mind [electronic resource] : how good intentions and bad ideas are setting up a generation for failure / Greg Lukianoff and Jonathan Haidt.
	CHECK-ENCODING	99383971204306576		Encoding level: 3	Treatment companion [electronic resource] : a speech-language pathologist's intervention guide for students with developmental delays and disorders / Inna Itskovich, Megan Meyer, Miriam Shaffer.
	CHECK-Cataloging Language	99383971204306576		040-b: 	Treatment companion [electronic resource] : a speech-language pathologist's intervention guide for students with developmental delays and disorders / Inna Itskovich, Megan Meyer, Miriam Shaffer.
	CHECK-Cataloging Language	99383975203406576	(OCoLC)933386184	040-b: 	Interpreting difficult history at museums and historic sites / Julia Rose.
	CHECK-Series490-traced	99383975203406576	(OCoLC)933386184	Series statement (traced): Interpreting History Series	
	CHECK-Cataloging Language	99383975204306576		040-b: 	Creole religions of the Caribbean: an introduction : from vodou and Santería to Obeah and Espiritismo / Margarite Fernández Olmos and Lizabeth Paravisini-Gebert ; foreword by Joseph M. Murphy.
	CHECK-Series490-traced	99383975204306576		Series statement (traced): Religion, race, and ethnicity	
	CHECK-Cataloging Language	99383977701706576	(OCoLC)1056865831	040-b: 	Treating traumatic stress in children and adolescents : how to foster resilience through attachment, self-regulation, and competency / Margaret Blaustein and Kristine Kinniburgh.
	CHECK-Cataloging Language	99383980803306576		040-b: 	The urban brain : mental health in the vital city / Nikolas Rose and Des Fitzgerald.
	CHECK-ENCODING	99383980805206576	(OCoLC)1388493067	Encoding level: 7	Counterintelligence in a cyber world [electronic resource] / Paul A. Watters.
	CHECK-Cataloging Language	99383980805206576	(OCoLC)1388493067	040-b: 	Counterintelligence in a cyber world [electronic resource] / Paul A. Watters.
	CHECK-Cataloging Language	99383980897406576	(OCoLC)1397575055	040-b: 	Owl monkeys : biology, adaptive radiation, and behavioral ecology of the only nocturnal primate in the Americas / Eduardo Fernandez-Duque, editor.
	CHECK-100-INDICATOR	99383980897406576	(OCoLC)1397575055	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383980897406576	(OCoLC)1397575055	245 Ind1: 0	Owl monkeys : biology, adaptive radiation, and behavioral ecology of the only nocturnal primate in the Americas / Eduardo Fernandez-Duque, editor.
	EDIT-Series490-untraced	99383980897406576	(OCoLC)1397575055	Series statement (untraced): Developments in primatology, progress and prospects	
	CHECK-Cataloging Language	99383999005706576	(OCoLC)1350442165	040-b: 	Handbook on the politics of public administration / edited by Andreas Ladner, Fritz Sager.
	CHECK-100-INDICATOR	99383999005706576	(OCoLC)1350442165	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383999005706576	(OCoLC)1350442165	245 Ind1: 0	Handbook on the politics of public administration / edited by Andreas Ladner, Fritz Sager.
	CHECK-Cataloging Language	99383999302306576	(OCoLC)1223086340	040-b: 	Democratic decision-making : consensus voting for civic society and parliaments / Peter Emerson.
	CHECK-Series490-traced	99383999302306576	(OCoLC)1223086340	Series statement (traced): SpringerBriefs in Political Science	
	CHECK-Cataloging Language	99383999302406576		040-b: 	Digital government excellence : lessons from effective digital leaders / Siim Sikkut.
	CHECK-Cataloging Language	99383999303306576	(OCoLC)1286427379	040-b: 	Identifying the complex causes of civil war : a machine learning approach / Atin Basuchoudhary [and three others].
	CHECK-Cataloging Language	99383999303906576		040-b: 	Politics of disinformation : the influence of fake news on the public sphere / edited by Guillermo López-García, University of Valencia, Valencia, Spain, Dolors Palau-Sampio, University of Valencia, Valencia, Spain, Bella Palomo, University of Málaga, Málaga, Spain, Eva Campos-Domínguez, University of Valladolid, Valladolid, Spain, Pere Masip, Blanquerna-Universitat Ramon Llull, Barcelona, Spain.
	CHECK-Cataloging Language	99383999304306576	(OCoLC)1236264724	040-b: 	The law of interactions between international organizations : a framework for multi-institutional labour governance / Henner Gött.
	CHECK-Series490-traced	99383999304306576	(OCoLC)1236264724	Series statement (traced): Beiträge zum ausländischen öffentlichen Recht und Völkerrecht ;Volume 299	
	CHECK-Cataloging Language	99383999804106576	(OCoLC)1251740039	040-b: 	Entangled peace : UN peacebuilding and the limits of a relational world / Ignasi Torrent.
	CHECK-Cataloging Language	99383999804206576	(OCoLC)1369658454	040-b: 	What do we know about civil wars? / edited by T. David Mason and Sara McLaughlin Mitchell.
	CHECK-Cataloging Language	99383818096506576		040-b: 	W.E.B Du Bois's data portraits : visualizing Black America / Whitney Battle-Baptiste and Britt Rusert, editors.
	CHECK-Cataloging Language	99383818096906576		040-b: 	The monuments of the Eastern Hill / Bonna D. Wescoat.
	EDIT-Geo	99383818096906576		No Geo Code; Check Bib Record for Geo Headings	The monuments of the Eastern Hill / Bonna D. Wescoat.
	CHECK-Series490-traced	99383818096906576		Series statement (traced): Bollingen series ;60	
	CHECK-ENCODING	99383818097006576	(OCoLC)703137954	Encoding level: M	The Earth Liberation Front 1997-2002 : 1997-2002.
	CHECK-Cataloging Language	99383818097206576	(OCoLC)0876046099	040-b: 	The conservative intellectual movement in America since 1945 / George H. Nash.
	CHECK-Cataloging Language	99383818098206576		040-b: 	Mental health screening and assessment in juvenile justice [electronic resource] / edited by Thomas Grisso, Gina Vincent, Daniel Seagrave.
	EDIT-ISBN_20a-to-z	99383818098206576		020a: 1593851324 (hardcover # : acid-free paper)	
	CHECK-100-INDICATOR	99383818098206576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818098206576		245 Ind1: 0	Mental health screening and assessment in juvenile justice [electronic resource] / edited by Thomas Grisso, Gina Vincent, Daniel Seagrave.
	CHECK-ENCODING	99383818099406576	(OCoLC)975226816	Encoding level: M	Forensic anthropology : a comprehensive introduction / edited by Natalie R. Langley, MariaTeresa A. Tersigni-Tarrant.
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Sets-ISBN_020Q	99383818099406576	(OCoLC)975226816	ISBN:9781315300023 1315300028 9781315300030 1315300036 9781315300016 131530001X 9781498736176 1498736173 9781498736169 1498736165 9781315300009 1315300001 9781498736145 1498736149Qualifier:(e-book ; PDF) (e-book ; PDF) (ebk) (ebk) (ePub ebook) (ePub ebook) (PDF ebook) (Mobipocket ebook) (VitalBook ebook)	
	CHECK-Cataloging Language	99383818099806576	(OCoLC)0936202383	040-b: 	Bridge of the untiring sea : the Corinthian Isthmus from prehistory to late antiquity / edited by Elizabeth R. Gebhard and Timothy E. Gregory.
	EDIT-ISBN_20a-to-z	99383818099806576	(OCoLC)0936202383	020a: 9780876615485 (alkaline paper)	
	CHECK-100-INDICATOR	99383818099806576	(OCoLC)0936202383	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818099806576	(OCoLC)0936202383	245 Ind1: 0	Bridge of the untiring sea : the Corinthian Isthmus from prehistory to late antiquity / edited by Elizabeth R. Gebhard and Timothy E. Gregory.
	CHECK-Series490-traced	99383818099806576	(OCoLC)0936202383	Series statement (traced): Hesperia supplement ;48	
	CHECK-Cataloging Language	99383818100106576		040-b: 	A history of modern Iran [electronic resource] / Ervand Abrahamian.
	EDIT-ISBN_20a-to-z	99383818100106576		020a: 9780521821391 (hbk.)	
	EDIT-ISBN_20a-to-z	99383818100106576		020a: 0521821398 (hbk.)	
	EDIT-ISBN_20a-to-z	99383818100106576		020a: 0521528917 (pbk.)	
	EDIT-ISBN_20a-to-z	99383818100106576		020a: 9780521528917 (pbk.)	
	CHECK-Cataloging Language	99383821096306576		040-b: 	Online searching : a guide to finding quality information efficiently and effectively / Karen Markey ; revised by Cheryl Knott.
	CHECK-Cataloging Language	99383841204706576		040-b: 	Radical black theatre in the New Deal / Kate Dossett.
	EDIT-Geo	99383841204706576		No Geo Code; Check Bib Record for Geo Headings	Radical black theatre in the New Deal / Kate Dossett.
	CHECK-Series490-traced	99383841204706576		Series statement (traced): The John Hope Franklin series in African American history and culture	
	CHECK-Cataloging Language	99383841205306576	(OCoLC)910102966	040-b: 	Exhibit labels : an interpretive approach / Beverly Serrell.
	CHECK-Cataloging Language	99383843896106576		040-b: 	Losing Eden : an environmental history of the American West / Sara Dant ; foreword by Tom S. Udall.
	EDIT-Geo	99383843896106576		No Geo Code; Check Bib Record for Geo Headings	Losing Eden : an environmental history of the American West / Sara Dant ; foreword by Tom S. Udall.
	EDIT-Series490-untraced	99383843896106576		Series statement (untraced): Environment and region in the American West	
	CHECK-ENCODING	99383843897106576		Encoding level: 7	Teaching Public History [electronic resource].
	CHECK-Cataloging Language	99383843897106576		040-b: 	Teaching Public History [electronic resource].
	EDIT-Geo	99383843897106576		No Geo Code; Check Bib Record for Geo Headings	Teaching Public History [electronic resource].
	CHECK-Cataloging Language	99383843899006576	(OCoLC)1312172166	040-b: 	Japanese role-playing games : genre, representation, and liminality in the JRPG / edited by Rachael Hutchinson, Jérémie Pelletier-Gagnon.
	CHECK-ENCODING	99383843900806576	(OCoLC)1378008057 (OCoLC)cis066241124	Encoding level: 7	TOWARDS A CHRISTIAN THEOLOGY OF AFRICAN ANCESTORS [electronic resource].
	CHECK-ENCODING	99383843901306576		Encoding level: 3	Speculations on Black Life: The Collected Writings of William R [electronic resource].
	CHECK-Cataloging Language	99383843901306576		040-b: 	Speculations on Black Life: The Collected Writings of William R [electronic resource].
	EDIT-ISBN_20a-to-z	99383843901306576		020a: 1350338745 (Cloth)	
	CHECK-ENCODING	99383844197306576		Encoding level: 3	Introduction to Research in Leadership.
	CHECK-Cataloging Language	99383844197306576		040-b: 	Introduction to Research in Leadership.
	EDIT-Series490-untraced	99383844197306576		Series statement (untraced): Contemporary Perspectives on Leadership Learning Series	
	CHECK-Cataloging Language	99383847404006576		040-b: 	Biology of sharks and their relatives / edited by Jeffrey C. Carrier, Colin A. Simpfendorfer, Michael R. Heithaus, Kara E. Yopak.
	CHECK-Cataloging Language	99383847704406576	(OCoLC)1351202858	040-b: 	Life, death, and consciousness in the long nineteenth century / edited by Lucy Cogan and Michelle O'Connell.
	CHECK-100-INDICATOR	99383847704406576	(OCoLC)1351202858	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383847704406576	(OCoLC)1351202858	245 Ind1: 0	Life, death, and consciousness in the long nineteenth century / edited by Lucy Cogan and Michelle O'Connell.
	EDIT-Series490-untraced	99383847704406576	(OCoLC)1351202858	Series statement (untraced): Palgrave studies in literature, science and medicine	
	CHECK-ENCODING	99383848702206576		Encoding level: 7	A century of modern Chinese poetry : an anthology / edited by Michelle Yeh, Zhangbin Li, and Frank Stewart.
	CHECK-Cataloging Language	99383848702206576		040-b: 	A century of modern Chinese poetry : an anthology / edited by Michelle Yeh, Zhangbin Li, and Frank Stewart.
	CHECK-ENCODING	99383850000306576		Encoding level: 7	Viruses : A Natural History / Marilyn J. Roossinck.
	CHECK-Cataloging Language	99383850000306576		040-b: 	Viruses : A Natural History / Marilyn J. Roossinck.
	EDIT-Series490-untraced	99383850000306576		Series statement (untraced): The Lives of the Natural World	
	CHECK-Series490-traced	99383850001006576	(OCoLC)1276804703	Series statement (traced): The Lawrence Stone lectures	
	CHECK-Cataloging Language	99383850004806576		040-b: 	Introduction to a poetics of diversity / Édouard Glissant, translated by Celia Britton.
	CHECK-Series490-traced	99383850004806576		Series statement (traced): The Glissant Translation Project	
	CHECK-Cataloging Language	99383853402706576		040-b: 	Climatic media : transpacific experiments in atmospheric control / Yuriko Furuhata.
	EDIT-Geo	99383853402706576		No Geo Code; Check Bib Record for Geo Headings	Climatic media : transpacific experiments in atmospheric control / Yuriko Furuhata.
	CHECK-Series490-traced	99383853402706576		Series statement (traced): Elements	
	CHECK-Cataloging Language	99383853404406576	(OCoLC)1377816345	040-b: 	The ties that bind : negotiating relationships in early Jewish and Christian texts, contexts, and reception history : essays in Honor of Adele Reinhartz / edited by Esther Kobel, Jo-Ann Brant and Meredith J.C. Warren, in collaboration with Andrew Bowden.
	CHECK-100-INDICATOR	99383853404406576	(OCoLC)1377816345	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853404406576	(OCoLC)1377816345	245 Ind1: 0	The ties that bind : negotiating relationships in early Jewish and Christian texts, contexts, and reception history : essays in Honor of Adele Reinhartz / edited by Esther Kobel, Jo-Ann Brant and Meredith J.C. Warren, in collaboration with Andrew Bowden.
